exact_name,tag,digest,disk_size_bytes,disk_size_gib,parameter_size,quantization,family,architecture,context_length,capabilities,template_present,system_prompt_present,modelfile_message_present,local_or_cloud,thinking_support,tools_support,vision_support,embedding_support,multimodal_support,apparent_specialist_role,currently_installed,metadata_confidence,metadata_source,metadata_error,modelfile_sha256,template_sha256,metadata_file,local_testability,testability_basis
hf.co/lmstudio-community/Qwen3-8B-GGUF:Q4_K_M,Q4_K_M,f1ab988bb6ceec875a24553886116b82b15aa804e9cb6a374a2e5e1133dd0b7d,5027786125,4.682,8.19B,Q4_K_M,qwen3,qwen3,32768,completion;thinking;tools,True,False,False,local,True,True,False,False,False,general_or_unknown,True,HIGH_API_SHOW,/api/tags + /api/show,,814b610e3058aa2c7b098776e1c52153966b6ac54eb7a3fac586cd40b45bea6e,2d54db2b9bb29ce7db54fea63a891f5859603813c555b1f88b5e0994652897f9,inventory/model_metadata_raw/3d01ebeabc1a18fef3ae.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
hf.co/tiiuae/Falcon-H1R-7B-GGUF:Q4_K_M,Q4_K_M,7a8fccc56374707c68bd2f899aeaf06b7977a71a5ea1f34b81d4c0afecd77552,4598345880,4.283,7.59B,Q4_K_M,falcon-h1,falcon-h1,262144,completion;thinking;tools,True,False,False,local,True,True,False,False,False,general_or_unknown,True,HIGH_API_SHOW,/api/tags + /api/show,,4c792196bb44c6332b6fe0e3a804e3628cc9074be6b0bc8d44257a897cb3fe8a,2d54db2b9bb29ce7db54fea63a891f5859603813c555b1f88b5e0994652897f9,inventory/model_metadata_raw/47006522eaa450f5af17.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
hf.co/unsloth/SmolLM3-3B-GGUF:UD-Q4_K_XL,UD-Q4_K_XL,49c1cb13df5f6647f0a1765a23d420f08a60bf844b1730054c59b271ea99804b,1940419998,1.807,3.08B,Q4_K_M,smollm3,smollm3,65536,completion;thinking;tools,True,False,False,local,True,True,False,False,False,general_or_unknown,True,HIGH_API_SHOW,/api/tags + /api/show,,e180bb235ee0a7d95dac9a93b3c24ff1ccbf8d6939b6cd808602bc57868b0518,68a3faf7ce81c5483069595f9d37bbcbd1d55c9a969e7a00dc5f7675c84b9222,inventory/model_metadata_raw/d9bcebda41a62b0e81a2.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
huggingface.co/llmware/phi-4-mini-gguf:latest,latest,812893abf9e42b8b19361eff7b2f4355ccdef03bfae6283c316ca0fb286e14d0,2491875818,2.321,3.84B,Q4_K_M,phi3,phi3,131072,completion;tools,True,False,False,local,False,True,False,False,False,general_or_unknown,True,HIGH_API_SHOW,/api/tags + /api/show,,104b2ed44a96ed13684d48a7fd6db97dfbe020b6db5eb31e84ada6882b0173c3,813f53fdc6e58d35bb1c3853c93266380e9ca918a993e8eab193e8ede5d3a603,inventory/model_metadata_raw/9ca5465695bf223c657c.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,latest,1a41a532bd9af10aa092d04bcd0ed7a20c9f4f39bf592d9cea55f46efae6b2f9,5027783691,4.682,8.19B,Q4_K_M,qwen3,qwen3,131072,completion;thinking;tools,True,False,False,local,True,True,False,False,False,reasoning_name_hint,True,HIGH_API_SHOW,/api/tags + /api/show,,09c1f5d2933a10315a313697e44e5bb070e3ddc71c7f6b6533703b04ea92c03f,53671bac29bcb3e1f95f51b8c77d85a6011b66dc38bd23dce64eef04384a976b,inventory/model_metadata_raw/ca3ea5546c29e2c90fee.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
kaelri/hy-mt2:7b-q4_K_M,7b-q4_K_M,1981e6ac165f7a519ae9fd6571b78284dae89d6d8fa7bd11ab20c1c7a7f89144,4624667187,4.307,7.5B,Q4_K_M,hunyuan-dense,hunyuan-dense,262144,completion,True,False,False,local,False,False,False,False,False,translation_name_hint,True,HIGH_API_SHOW,/api/tags + /api/show,,be09543a9530743a78c8fbe10699cd476a56549cf32b5fb1d3b016e4cbd85ef3,4d1fe8afef6f138853a024a6c2d27131c61e5fb866dad776715703de742b0576,inventory/model_metadata_raw/63aeb34646864952edf3.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
lfm2.5:8b,8b,9cf756159fc2f3b9128c6a3f544ec90c5e9b8afdbb4179a57b8aea9de589cfb2,5156075525,4.802,8.5B,Q4_K_M,lfm2moe,lfm2moe,128000,completion;thinking;tools,True,False,False,local,True,True,False,False,False,general_or_unknown,True,HIGH_API_SHOW,/api/tags + /api/show,,0f5f02225b9efc5210ebbc1c3204dacf9abc57d30f02d79c6952d861b00279c5,b507b9c2f6ca642bffcd06665ea7c91f235fd32daeefdf875a0f938db05fb315,inventory/model_metadata_raw/1fcd595c0214c28c340e.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
llama3.2:3b,3b,a80c4f17acd55265feec403c7aef86be0c25983ab279d83f3bcd3abbcb5b8b72,2019393189,1.881,3.2B,Q4_K_M,llama,llama,131072,completion;tools,True,False,False,local,False,True,False,False,False,general_or_unknown,True,HIGH_API_SHOW,/api/tags + /api/show,,5d5b08361a592da9902296edb865cfaee4bf59654c78df2c0a141a058d2db536,966de95ca8a62200913e3f8bfbf84c8494536f1b94b49166851e76644e966396,inventory/model_metadata_raw/925b2caf983238a56eb2.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
medgemma1.5:4b,4b,433252621ab154668b5d8be6aff6c1b771bacba045e46e6193da8d6ad1630f2c,3338940988,3.11,4.3B,Q4_K_M,gemma3,gemma3,131072,completion;vision,True,False,False,local,False,False,True,False,True,vision,True,HIGH_API_SHOW,/api/tags + /api/show,,bcb7cbe3f35f76fdaedb5e53c4c47981bc6e1927675027d398f6ae75361fc76c,f79eab3dd094a88a34ba63d44a5b8a03504786626bd2316017752f1ecb14fac8,inventory/model_metadata_raw/4bd267968bc6bb15c252.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
minicpm-v4.6:latest,latest,e95583acac773b45d95469c069db44808c87295f924183f4c942d52616b2d132,1637848812,1.525,752.16M,Q4_K_M,qwen35,qwen35,262144,completion;thinking;tools;vision,True,False,False,local,True,True,True,False,True,vision,True,HIGH_API_SHOW,/api/tags + /api/show,,eec22d3fe462da829526dec88f9fad367b5ffcaaa4784c0c0854bd7776861695,dfe1fa43a3444f065406d3a2b9aa315602f5c146b80cf22e0426a6c1466d85aa,inventory/model_metadata_raw/eeeed60e0a0db4f83a65.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
minimax-m3:cloud,cloud,d03a959f45c04ab183e245922ecb46ebccfb9d5e55bdee5e9055271ee70195e3,362,0.0,0,,minimax-m3,minimax-m3,524288,completion;thinking;tools;vision,False,False,False,cloud,True,True,True,False,True,vision,False,HIGH_API_SHOW,/api/tags + /api/show,,,,inventory/model_metadata_raw/926f12fd10747de40a0b.json,CLOUD_ONLY,Ollama entry is cloud-backed; local model files are not present.
ministral-3:8b,8b,1922accd5827ebe6829e536369195db25eaf664528dc66206d646ea3bb386b71,6022236616,5.609,8.9B,Q4_K_M,mistral3,mistral3,262144,completion;tools;vision,True,False,False,local,False,True,True,False,True,vision,True,HIGH_API_SHOW,/api/tags + /api/show,,6a7b303ee5f5c51820bd8e94162d095d7c7d460c3219574eff9f8458b551e03c,5b74c26b9e0b6358e73d0a7eb2f955105097e7bd10b45fa0d2a50f0a906e0798,inventory/model_metadata_raw/cc8d84af9a23617a156f.json,TESTABLE_WITH_CPU_OFFLOAD,Model exceeds conservative VRAM fit but is small relative to system RAM.
mistral:7b,7b,6577803aa9a036369e481d648a2baebb381ebc6e897f2bb9a766a2aa7bfbc1cf,4372824384,4.073,7.2B,Q4_K_M,llama,llama,32768,completion;tools,True,False,False,local,False,True,False,False,False,general_or_unknown,True,HIGH_API_SHOW,/api/tags + /api/show,,38d21b436b252f0fec2d1df9d74c5dc21517e770964c581ab0fd51f25e72cba8,1ff5b64b61b9a63146475a24f70d3ca2fd6fdeec44247987163479968896fc0b,inventory/model_metadata_raw/4eea333d13365cb419fb.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
nemotron-3-nano:4b,4b,6cc467f054393a55e98a74098abde0c762ffb6d1d8cd64becf30458f38886197,2837597147,2.643,4.0B,Q4_K_M,nemotron_h,nemotron_h,262144,completion;thinking;tools,True,False,False,local,True,True,False,False,False,general_or_unknown,True,HIGH_API_SHOW,/api/tags + /api/show,,06d7d4c5d9ee9a4ebf3f4e89530e664ca8dad7b3bc49bc0fd35735b123023a8b,b507b9c2f6ca642bffcd06665ea7c91f235fd32daeefdf875a0f938db05fb315,inventory/model_metadata_raw/16e211e68826cec436af.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
olmo-3:7b-instruct,7b-instruct,ea72df8c85d75c6783ab0d00278803c53a634fc9d0fe38d3fd4ab6f35adbdbb2,4472011552,4.165,7.3B,Q4_K_M,olmo3,olmo3,65536,completion;tools,True,False,False,local,False,True,False,False,False,general_or_unknown,True,HIGH_API_SHOW,/api/tags + /api/show,,6f6008c959cfe9b5b9a8d5725c78f914aa87879a4e4d53913b932d8b5b1a40e8,b507b9c2f6ca642bffcd06665ea7c91f235fd32daeefdf875a0f938db05fb315,inventory/model_metadata_raw/1cb81d2901649233995d.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
olmo-3:7b-think,7b-think,b8d4c92ac9c103f858f4f09a418b62de8ca1abf1b20b4020006346535634dd35,4472011564,4.165,7.3B,Q4_K_M,olmo3,olmo3,65536,completion;thinking,True,False,False,local,True,False,False,False,False,reasoning_name_hint,True,HIGH_API_SHOW,/api/tags + /api/show,,f679a1478b90e441f4815df0986ddda9e22f6a535eb4f2c23319e59ef2ed7994,b507b9c2f6ca642bffcd06665ea7c91f235fd32daeefdf875a0f938db05fb315,inventory/model_metadata_raw/7b435caab9819dfc58c0.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
openbmb/minicpm5:Q4_K_M,Q4_K_M,08239e8f70e09fc079ff3b5c4f011fd846d452ae9ba4e4b4c40e526bd4950ded,688066595,0.641,1.1B,Q4_K_M,llama,llama,131072,completion;thinking;tools,True,False,False,local,True,True,False,False,False,general_or_unknown,True,HIGH_API_SHOW,/api/tags + /api/show,,5c981cedb7c06d02dc4162acf41db44362a911fa1affbe9537dc180f1d11c25a,7451a05cf1e28a79d97d7c0bc951028c0b1915119bf9046acd06a0e3d931f47c,inventory/model_metadata_raw/03d29311397c94370dc6.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
ornith:9b,9b,a75697c145891910e312c95e4a9fc1ccb8653e5ef543b23b0403a4665b82fd91,5629110568,5.243,9.0B,Q4_K_M,qwen35,qwen35,262144,completion;thinking;tools,True,True,False,local,True,True,False,False,False,general_or_unknown,True,HIGH_API_SHOW,/api/tags + /api/show,,2687b65cee4d45870ed8ebfa90fc789d5d2ced5919de6c055dfd2954eb34a9ff,b507b9c2f6ca642bffcd06665ea7c91f235fd32daeefdf875a0f938db05fb315,inventory/model_metadata_raw/e6dd885bae4c4173e3d7.json,TESTABLE_WITH_CPU_OFFLOAD,Model exceeds conservative VRAM fit but is small relative to system RAM.
phi4-mini-reasoning:latest,latest,3ca8c2865ce91b6be853a25e56edfefa4f473db55a391611989b753ecf0fa419,3152479391,2.936,3.8B,Q4_K_M,phi3,phi3,131072,completion;tools,True,True,False,local,False,True,False,False,False,reasoning_name_hint,True,HIGH_API_SHOW,/api/tags + /api/show,,e434e13501dee31cce0d0958f6d626d5a6e827bc5fc946f7d8e42b2d2abcaa83,cbb504cb43fec3f8877d709d9f7a729441e56f41cb4fddd382675fab35de7fe1,inventory/model_metadata_raw/ecc5e138b57b2f52833b.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
phi4-mini:latest,latest,78fad5d182a7c33065e153a5f8ba210754207ba9d91973f57dffa7f487363753,2491876774,2.321,3.8B,Q4_K_M,phi3,phi3,131072,completion;tools,True,False,False,local,False,True,False,False,False,general_or_unknown,True,HIGH_API_SHOW,/api/tags + /api/show,,932a436e64a77f25f04168e03026356576bb128eb071f15b1d9f1349b3cc2766,813f53fdc6e58d35bb1c3853c93266380e9ca918a993e8eab193e8ede5d3a603,inventory/model_metadata_raw/2746c3616b09d7b56475.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
qwen3-coder-next:cloud,cloud,aa626c11ae8dc60853e1dd7307035885eebd96de4e48ef0c76594e25fd8c0d67,382,0.0,80B,FP8,qwen3next,qwen3next,,,False,False,False,cloud,False,False,False,False,False,code_name_hint,False,MEDIUM_TAGS_ONLY,/api/tags,HTTPError: HTTP Error 410: Gone,,,inventory/model_metadata_raw/b629d869c6db7d3cb83b.json,CLOUD_ONLY,Ollama entry is cloud-backed; local model files are not present.
qwen3-coder:480b-cloud,480b-cloud,e30e45586389a1eb8d7616d16c7b692c89b903b58456ec5f20219cd4c9737f7e,382,0.0,480B,BF16,qwen3moe,qwen3moe,,,False,False,False,cloud,False,False,False,False,False,code_name_hint,False,MEDIUM_TAGS_ONLY,/api/tags,HTTPError: HTTP Error 410: Gone,,,inventory/model_metadata_raw/e9f39cabc150c1fb7bbf.json,CLOUD_ONLY,Ollama entry is cloud-backed; local model files are not present.
qwen3-embedding:latest,latest,64b933495768fbd3b87c20583d379728a07471e0c66733a9df87cd1901b3c44b,4676805193,4.356,7.6B,Q4_K_M,qwen3,qwen3,40960,embedding;tools,True,False,False,local,False,True,False,True,False,embedding,True,HIGH_API_SHOW,/api/tags + /api/show,,e1436780e61d8e91e1af7f1cefa3b55c37e79a4adf99306f5780d1a675e80149,44d5f08f3f72b837eaad09f13a54c1f9f4eb58d75240334548b7fd52a5437fa5,inventory/model_metadata_raw/1b9f20601c16b573f358.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
qwen3-vl:8b,8b,901cae73216286ea8c5aba8b46d307ff7188f737285ec500c795a12f05225d28,6140415879,5.719,8.8B,Q4_K_M,qwen3vl,qwen3vl,262144,completion;thinking;tools;vision,True,False,False,local,True,True,True,False,True,vision,True,HIGH_API_SHOW,/api/tags + /api/show,,8f0ba79d54a50067f5f150c05a8defbd7dcbb7c18cc03659cf53a5d79c938ecb,b507b9c2f6ca642bffcd06665ea7c91f235fd32daeefdf875a0f938db05fb315,inventory/model_metadata_raw/5ad3bf2d05e0eb5ab6a3.json,TESTABLE_WITH_CPU_OFFLOAD,Model exceeds conservative VRAM fit but is small relative to system RAM.
qwen3.5:4b,4b,2a654d98e6fba55d452b7043684e9b57a947e393bbffa62485a7aac05ee4eefd,3389983735,3.157,4.7B,Q4_K_M,qwen35,qwen35,262144,completion;thinking;tools;vision,True,False,False,local,True,True,True,False,True,vision,True,HIGH_API_SHOW,/api/tags + /api/show,,0e6bcd81732ab5e7c0a08e68332f1c4b1a7aa66c3f1f37342f662b09f9683657,b507b9c2f6ca642bffcd06665ea7c91f235fd32daeefdf875a0f938db05fb315,inventory/model_metadata_raw/ce16d112f076e2ab0db2.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
qwen3.5:9b,9b,6488c96fa5faab64bb65cbd30d4289e20e6130ef535a93ef9a49f42eda893ea7,6594474711,6.142,9.7B,Q4_K_M,qwen35,qwen35,262144,completion;thinking;tools;vision,True,False,False,local,True,True,True,False,True,vision,True,HIGH_API_SHOW,/api/tags + /api/show,,eb2f78b18b5a6bc64c43b5b1c6f02fb1cc5bc709ba583612ea706efb3b701b91,b507b9c2f6ca642bffcd06665ea7c91f235fd32daeefdf875a0f938db05fb315,inventory/model_metadata_raw/888f03bdc66326065533.json,TESTABLE_WITH_CPU_OFFLOAD,Model exceeds conservative VRAM fit but is small relative to system RAM.
rnj-1:latest,latest,d20e29ab8d0f11423b1e8da33764c8bdafc1d0abbb9971f68edd0f6d4176435f,5114440677,4.763,8.3B,Q4_K_M,gemma3,gemma3,32768,completion;tools,True,False,False,local,False,True,False,False,False,general_or_unknown,True,HIGH_API_SHOW,/api/tags + /api/show,,770c78168b12bd155c87ab5d1d33ef53f1808f005105a496829bac1495041ab0,d588893e14d0dd697b8df81d0df1e9951bb5f73c586f945429eb2d060b94a4e8,inventory/model_metadata_raw/0c28f6300b67a2aab53d.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
shieldgemma:2b,2b,5aad5044d142232b67c4d531aecc022165f06ba40235a60b3a77824c66dfc360,1708595627,1.591,2.6B,Q4_K_M,gemma2,gemma2,8192,completion,True,False,False,local,False,False,False,False,False,safety,True,HIGH_API_SHOW,/api/tags + /api/show,,3a4543bb94741bb13863775bb7fdf08f4607f308a421d863721075d358ad870f,1b667144a522432ff2be769cedd83e6357ccb4788f56853cbe81de39ac57d7b9,inventory/model_metadata_raw/2c407a014c7a996a52ba.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
smollm2:1.7b,1.7b,cef4a1e09247f018ca0c482ad4c2ce1474aba5e87f245dacf97f07948d05d8b4,1820428533,1.695,1.7B,Q8_0,llama,llama,8192,completion;tools,True,True,False,local,False,True,False,False,False,general_or_unknown,True,HIGH_API_SHOW,/api/tags + /api/show,,5adcecb72a9bee31a2ed5fd21cb25ed1433bc5cbc08822fc0c3d9a887403ef5a,dfebd0343bdd30da9bcbc152d57d9dad916eaecc9c63a09093fb45a1421fcbe6,inventory/model_metadata_raw/dc590417d15238c7e258.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
starcoder2:7b,7b,1550ab21b10d3b3a53bcb13e628f3de773d9dbabe814d2315e5c0d8b9f3ef7e6,4042813088,3.765,7B,Q4_0,starcoder2,starcoder2,16384,completion;insert,True,False,False,local,False,False,False,False,False,code_name_hint,True,HIGH_API_SHOW,/api/tags + /api/show,,de94af6ff0d80310848f444ddcb479581976d812d293e75ca4ab91e7027b9c65,3b190e68fefe043e95b25825d7ebb8d2d61b154678765a2ab0d4a3a7a5b9733e,inventory/model_metadata_raw/53ad56cb60c082a3ce81.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
translategemma:latest,latest,c49d986b0764f5881c476eb21435bb62b7abc62347aab3d4a6071e811be510a1,3298875707,3.072,4.3B,Q4_K_M,gemma3,gemma3,131072,completion;vision,True,False,False,local,False,False,True,False,True,vision,True,HIGH_API_SHOW,/api/tags + /api/show,,0de16d44fc74979a9c890a33bcbde5eeeda8c98663b1fe6f65eda503a21aa74e,e0a42594d802e5d31cdc786deb4823edb8adff66094d49de8fffe976d753e348,inventory/model_metadata_raw/30a72626a401d32894f1.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
