model,digest,parameter_size,quantization,official_model,official_source_url,match_confidence,publisher_claim_summary,comparison_rule
hf.co/lmstudio-community/Qwen3-8B-GGUF:Q4_K_M,f1ab988bb6ceec875a24553886116b82b15aa804e9cb6a374a2e5e1133dd0b7d,8.19B,Q4_K_M,Qwen/Qwen3-8B,https://huggingface.co/Qwen/Qwen3-8B,EXACT_QUANTIZED_DERIVATIVE,"8.2B total, 32K native context; official card describes thinking/non-thinking modes.",CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
hf.co/tiiuae/Falcon-H1R-7B-GGUF:Q4_K_M,7a8fccc56374707c68bd2f899aeaf06b7977a71a5ea1f34b81d4c0afecd77552,7.59B,Q4_K_M,tiiuae/Falcon-H1R-7B,https://huggingface.co/tiiuae/Falcon-H1R-7B,EXACT_QUANTIZED_DERIVATIVE,"7B reasoning model; publisher reports AIME, LiveCodeBench, GPQA-D and MMLU-Pro.",CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
hf.co/unsloth/SmolLM3-3B-GGUF:UD-Q4_K_XL,49c1cb13df5f6647f0a1765a23d420f08a60bf844b1730054c59b271ea99804b,3.08B,Q4_K_M,HuggingFaceTB/SmolLM3-3B,https://huggingface.co/HuggingFaceTB/SmolLM3-3B,EXACT_QUANTIZED_DERIVATIVE,3B dual-mode reasoning model; official card publishes separate thinking and non-thinking results.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
huggingface.co/llmware/phi-4-mini-gguf:latest,812893abf9e42b8b19361eff7b2f4355ccdef03bfae6283c316ca0fb286e14d0,3.84B,Q4_K_M,microsoft/Phi-4-mini-instruct,https://huggingface.co/microsoft/Phi-4-mini-instruct,QUANTIZED_DERIVATIVE_REPACKAGER,"3.8B, 128K; official card publishes MMLU and BBH results.",CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,1a41a532bd9af10aa092d04bcd0ed7a20c9f4f39bf592d9cea55f46efae6b2f9,8.19B,Q4_K_M,deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,https://huggingface.co/deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,EXACT_QUANTIZED_DERIVATIVE,8B distilled reasoning model with official math and reasoning evaluations.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
kaelri/hy-mt2:7b-q4_K_M,1981e6ac165f7a519ae9fd6571b78284dae89d6d8fa7bd11ab20c1c7a7f89144,7.5B,Q4_K_M,tencent/Hy-MT2-7B,https://huggingface.co/tencent/Hy-MT2-7B,QUANTIZED_DERIVATIVE_REPACKAGER,7B translation specialist with publisher-reported multilingual translation evaluations.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
lfm2.5:8b,9cf756159fc2f3b9128c6a3f544ec90c5e9b8afdbb4179a57b8aea9de589cfb2,8.5B,Q4_K_M,LiquidAI/LFM2.5-8B-A1B,https://huggingface.co/LiquidAI/LFM2.5-8B-A1B,EXACT_FAMILY_QUANTIZED_RUNTIME,"8B-A1B efficient hybrid model; official card reports instruction, code and tool-use evaluations.",CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
llama3.2:3b,a80c4f17acd55265feec403c7aef86be0c25983ab279d83f3bcd3abbcb5b8b72,3.2B,Q4_K_M,meta-llama/Llama-3.2-3B-Instruct,https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct,EXACT_FAMILY_QUANTIZED_RUNTIME,3B instruction model with official multilingual text evaluations.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
medgemma1.5:4b,433252621ab154668b5d8be6aff6c1b771bacba045e46e6193da8d6ad1630f2c,4.3B,Q4_K_M,Google MedGemma 1.5 4B,https://developers.google.com/health-ai-developer-foundations/medgemma/model-card,EXACT_FAMILY_QUANTIZED_RUNTIME,4B medical multimodal specialist; official guidance requires task-specific validation.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
minicpm-v4.6:latest,e95583acac773b45d95469c069db44808c87295f924183f4c942d52616b2d132,752.16M,Q4_K_M,openbmb/MiniCPM-V-4_6,https://huggingface.co/openbmb/MiniCPM-V-4_6,FAMILY_MATCH_RUNTIME_METADATA_ODD,Multimodal MiniCPM-V 4.6 family; local parameter metadata should not be treated as authoritative provenance.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
ministral-3:8b,1922accd5827ebe6829e536369195db25eaf664528dc66206d646ea3bb386b71,8.9B,Q4_K_M,mistralai/Ministral-3-8B-Instruct-2512,https://huggingface.co/mistralai/Ministral-3-8B-Instruct-2512,EXACT_FAMILY_QUANTIZED_RUNTIME,8B instruction model; official card describes long-context and multimodal capabilities.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
mistral:7b,6577803aa9a036369e481d648a2baebb381ebc6e897f2bb9a766a2aa7bfbc1cf,7.2B,Q4_K_M,mistralai/Mistral-7B-Instruct-v0.3,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.3,FAMILY_ONLY_LOCAL_REVISION_UNVERIFIED,7B instruction family with function-calling support; local tag revision is not explicit.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
nemotron-3-nano:4b,6cc467f054393a55e98a74098abde0c762ffb6d1d8cd64becf30458f38886197,4.0B,Q4_K_M,nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8,https://huggingface.co/nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8,FAMILY_MATCH_DIFFERENT_QUANTIZATION,"4B efficient model; official card provides reasoning, coding and agentic evaluations.",CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
olmo-3:7b-instruct,ea72df8c85d75c6783ab0d00278803c53a634fc9d0fe38d3fd4ab6f35adbdbb2,7.3B,Q4_K_M,allenai/Olmo-3-7B-Instruct,https://huggingface.co/allenai/Olmo-3-7B-Instruct,EXACT_FAMILY_QUANTIZED_RUNTIME,7B instruction variant with official evaluation tables and open training documentation.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
olmo-3:7b-think,b8d4c92ac9c103f858f4f09a418b62de8ca1abf1b20b4020006346535634dd35,7.3B,Q4_K_M,allenai/Olmo-3-7B-Think,https://huggingface.co/allenai/Olmo-3-7B-Think,EXACT_FAMILY_QUANTIZED_RUNTIME,7B thinking variant with official reasoning evaluations.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
openbmb/minicpm5:Q4_K_M,08239e8f70e09fc079ff3b5c4f011fd846d452ae9ba4e4b4c40e526bd4950ded,1.1B,Q4_K_M,openbmb/MiniCPM5-1B,https://huggingface.co/openbmb/MiniCPM5-1B,EXACT_QUANTIZED_DERIVATIVE,1.08B total hybrid reasoning/tool model with 131K context claim.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
ornith:9b,a75697c145891910e312c95e4a9fc1ccb8653e5ef543b23b0403a4665b82fd91,9.0B,Q4_K_M,UNVERIFIED,,UNVERIFIED_LOCAL_TAG,No authoritative exact model card was matched during this audit.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
phi4-mini-reasoning:latest,3ca8c2865ce91b6be853a25e56edfefa4f473db55a391611989b753ecf0fa419,3.8B,Q4_K_M,microsoft/Phi-4-mini-reasoning,https://huggingface.co/microsoft/Phi-4-mini-reasoning,EXACT_FAMILY_QUANTIZED_RUNTIME,"3.8B, 128K reasoning specialist trained for mathematical reasoning.",CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
phi4-mini:latest,78fad5d182a7c33065e153a5f8ba210754207ba9d91973f57dffa7f487363753,3.8B,Q4_K_M,microsoft/Phi-4-mini-instruct,https://huggingface.co/microsoft/Phi-4-mini-instruct,EXACT_FAMILY_QUANTIZED_RUNTIME,"3.8B, 128K instruction model; official card publishes MMLU and BBH results.",CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
qwen3-embedding:latest,64b933495768fbd3b87c20583d379728a07471e0c66733a9df87cd1901b3c44b,7.6B,Q4_K_M,Qwen/Qwen3-Embedding-8B,https://huggingface.co/Qwen/Qwen3-Embedding-8B,EXACT_FAMILY_QUANTIZED_RUNTIME,8B embedding specialist; official card reports multilingual MTEB results.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
qwen3-vl:8b,901cae73216286ea8c5aba8b46d307ff7188f737285ec500c795a12f05225d28,8.8B,Q4_K_M,Qwen/Qwen3-VL-8B-Instruct,https://huggingface.co/Qwen/Qwen3-VL-8B-Instruct,EXACT_FAMILY_QUANTIZED_RUNTIME,8B vision-language instruction model with official multimodal evaluations.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
qwen3.5:4b,2a654d98e6fba55d452b7043684e9b57a947e393bbffa62485a7aac05ee4eefd,4.7B,Q4_K_M,Qwen/Qwen3.5-4B,https://huggingface.co/Qwen/Qwen3.5-4B,EXACT_FAMILY_QUANTIZED_RUNTIME,4B current Qwen family model; official card publishes capability and benchmark tables.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
qwen3.5:9b,6488c96fa5faab64bb65cbd30d4289e20e6130ef535a93ef9a49f42eda893ea7,9.7B,Q4_K_M,Qwen/Qwen3.5-9B,https://huggingface.co/Qwen/Qwen3.5-9B,EXACT_FAMILY_QUANTIZED_RUNTIME,9B current Qwen family model; official card publishes capability and benchmark tables.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
rnj-1:latest,d20e29ab8d0f11423b1e8da33764c8bdafc1d0abbb9971f68edd0f6d4176435f,8.3B,Q4_K_M,EssentialAI/rnj-1,https://huggingface.co/EssentialAI/rnj-1,FAMILY_ONLY_BASE_VS_INSTRUCT_UNVERIFIED,8B code/STEM family; official card distinguishes base and instruction variants.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
shieldgemma:2b,5aad5044d142232b67c4d531aecc022165f06ba40235a60b3a77824c66dfc360,2.6B,Q4_K_M,google/shieldgemma-2b,https://huggingface.co/google/shieldgemma-2b,EXACT_FAMILY_QUANTIZED_RUNTIME,2B safety content-moderation specialist targeting four harm categories.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
smollm2:1.7b,cef4a1e09247f018ca0c482ad4c2ce1474aba5e87f245dacf97f07948d05d8b4,1.7B,Q8_0,HuggingFaceTB/SmolLM2-1.7B-Instruct,https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B-Instruct,EXACT_FAMILY_RUNTIME_REVISION_UNVERIFIED,1.7B compact instruction model with official small-model evaluations.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
starcoder2:7b,1550ab21b10d3b3a53bcb13e628f3de773d9dbabe814d2315e5c0d8b9f3ef7e6,7B,Q4_0,bigcode/starcoder2-7b,https://huggingface.co/bigcode/starcoder2-7b,EXACT_FAMILY_QUANTIZED_RUNTIME,"7B code-completion base model, not an instruction-tuned chat model; official card reports HumanEval.",CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
translategemma:latest,c49d986b0764f5881c476eb21435bb62b7abc62347aab3d4a6071e811be510a1,4.3B,Q4_K_M,google/translategemma-4b-it,https://huggingface.co/google/translategemma-4b-it,FAMILY_MATCH_LOCAL_TAG_SIZE_4B,4B translation specialist; official model card defines multimodal translation usage.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
