model,params,size_gib,quant,context,general_candidate,reasoning_capability,code_capability,tools_capability,vision_capability,ocr_candidate,embedding_capability,safety_specialist,medical_specialist,translation_specialist,cloud,edge_candidate,metadata_notes
nemotron-3-nano:4b,4.0B,2.643,Q4_K_M,262144,metadata_not_specialist,thinking,,explicit,,,,,,,False,small_file_only,general_or_unknown
olmo-3:7b-instruct,7.3B,4.165,Q4_K_M,65536,metadata_not_specialist,,,explicit,,,,,,,False,,general_or_unknown
olmo-3:7b-think,7.3B,4.165,Q4_K_M,65536,,metadata_or_name_hint,,,,,,,,,False,,reasoning_name_hint
openbmb/minicpm5:Q4_K_M,1.1B,0.641,Q4_K_M,131072,metadata_not_specialist,thinking,,explicit,,,,,,,False,small_file_only,general_or_unknown
ornith:9b,9.0B,5.243,Q4_K_M,262144,metadata_not_specialist,thinking,,explicit,,,,,,,False,,general_or_unknown
phi4-mini-reasoning:latest,3.8B,2.936,Q4_K_M,131072,,metadata_or_name_hint,,explicit,,,,,,,False,small_file_only,reasoning_name_hint
phi4-mini:latest,3.8B,2.321,Q4_K_M,131072,metadata_not_specialist,,,explicit,,,,,,,False,small_file_only,general_or_unknown
qwen3-coder-next:cloud,80B,0.0,FP8,,,,name_hint,,,,,,,,True,,code_name_hint
qwen3-coder:480b-cloud,480B,0.0,BF16,,,,name_hint,,,,,,,,True,,code_name_hint
qwen3-embedding:latest,7.6B,4.356,Q4_K_M,40960,,,,explicit,,,explicit,,,,False,,embedding
qwen3-vl:8b,8.8B,5.719,Q4_K_M,262144,,thinking,,explicit,explicit,,,,,,False,,vision
qwen3.5:4b,4.7B,3.157,Q4_K_M,262144,,thinking,,explicit,explicit,,,,,,False,,vision
qwen3.5:9b,9.7B,6.142,Q4_K_M,262144,,thinking,,explicit,explicit,,,,,,False,,vision
rnj-1:latest,8.3B,4.763,Q4_K_M,32768,metadata_not_specialist,,,explicit,,,,,,,False,,general_or_unknown
shieldgemma:2b,2.6B,1.591,Q4_K_M,8192,,,,,,,,name_hint,,,False,small_file_only,safety
smollm2:1.7b,1.7B,1.695,Q8_0,8192,metadata_not_specialist,,,explicit,,,,,,,False,small_file_only,general_or_unknown
starcoder2:7b,7B,3.765,Q4_0,16384,,,name_hint,,,,,,,,False,,code_name_hint
translategemma:latest,4.3B,3.072,Q4_K_M,131072,,,,,explicit,,,,,,False,,vision
