model,task_id,track,original_status,recovery_status,original_practical_score,recovery_practical_score,recovery_scoreable,recovery_selected,selected_practical_score,selection_reason,reliability_annotation
olmo-3:7b-think,CTX32_02,long_context,truncated_before_final,truncated_before_final,,,False,False,,recovery_not_scoreable,original_result_retained
olmo-3:7b-think,PERF_COLD_01,performance,truncated_before_final,truncated_before_final,,,False,False,,recovery_not_scoreable,original_result_retained
olmo-3:7b-think,PERF_WARM_01,performance,truncated_before_final,truncated,,,False,False,,recovery_not_scoreable,original_result_retained
olmo-3:7b-think,TRANS_03,translation,truncated_before_final,completed,,70.0,True,True,70.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
olmo-3:7b-think,TRANS_04,translation,truncated_before_final,completed,,90.0,True,True,90.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
olmo-3:7b-think,RSN_07,reasoning,absolute_timeout,absolute_timeout,,,False,False,,recovery_not_scoreable,original_result_retained
qwen3-vl:8b,TRANS_04,translation,truncated_before_final,completed,,100.0,True,True,100.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3-vl:8b,TRANS_06,translation,truncated_before_final,completed,,100.0,True,True,100.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3-vl:8b,RSN_01,reasoning,absolute_timeout,completed,,0.0,True,True,0.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
smollm2:1.7b,TOOL_03,tools,tool_loop_limit,tool_loop_limit,60.0,60.0,True,False,60.0,original_score_not_improved,original_result_retained
smollm2:1.7b,TOOL_04,tools,tool_loop_limit,completed,45.0,90.0,True,True,90.0,higher_practical_score,recovered_under_relaxed_budget
smollm2:1.7b,TOOL_05,tools,tool_loop_limit,completed,45.0,55.0,True,True,55.0,higher_practical_score,recovered_under_relaxed_budget
smollm2:1.7b,TOOL_07,tools,tool_loop_limit,completed,60.0,73.333333,True,True,73.333333,higher_practical_score,recovered_under_relaxed_budget
smollm2:1.7b,TOOL_08,tools,tool_loop_limit,completed,60.0,57.5,True,False,60.0,original_score_not_improved,original_result_retained
openbmb/minicpm5:Q4_K_M,TOOL_06,tools,tool_loop_limit,completed,60.0,67.5,True,True,67.5,higher_practical_score,recovered_under_relaxed_budget
openbmb/minicpm5:Q4_K_M,TOOL_08,tools,tool_loop_limit,completed,60.0,90.0,True,True,90.0,higher_practical_score,recovered_under_relaxed_budget
nemotron-3-nano:4b,TOOL_07,tools,tool_not_found,tool_not_found,40.0,31.666667,True,False,40.0,original_score_not_improved,original_result_retained
