scope,track,model,records,scored_records,coverage,completion_rate,mean_score_0_to_1,completion_adjusted_mean_0_to_1,recovery_attempted,recovery_selected,runtime_anomalies,truncation_related
local_practical,long_context,gemma4:e4b,4,4,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,ocr,gemma4:e4b,10,10,1.0,1.0,0.143284,0.143284,0,0,0,0
local_practical,performance,gemma4:e4b,2,0,0.0,0.0,,,0,0,0,0
local_practical,reasoning,gemma4:e4b,10,10,1.0,1.0,0.8,0.8,0,0,0,0
local_practical,tools,gemma4:e4b,8,8,1.0,1.0,0.905,0.905,0,0,0,0
local_practical,translation,gemma4:e4b,6,6,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,vision,gemma4:e4b,8,8,1.0,1.0,0.875,0.875,0,0,0,0
local_practical,ocr,glm-ocr:latest,10,10,1.0,0.0,0.81,0.0,0,0,0,10
local_practical,safety,granite4.1-guardian:8b,20,20,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,code,granite4.1:8b,8,8,1.0,1.0,0.5,0.5,0,0,0,0
local_practical,core,granite4.1:8b,24,24,1.0,1.0,0.84375,0.84375,0,0,0,0
local_practical,long_context,granite4.1:8b,4,4,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,performance,granite4.1:8b,2,0,0.0,0.0,,,0,0,0,0
local_practical,tools,granite4.1:8b,8,8,1.0,1.0,0.883542,0.883542,0,0,0,0
local_practical,translation,granite4.1:8b,6,6,1.0,1.0,0.966667,0.966667,0,0,0,0
local_practical,code,granite4:7b-a1b-h,8,8,1.0,1.0,0.68,0.68,0,0,0,0
local_practical,core,granite4:7b-a1b-h,24,24,1.0,1.0,0.702083,0.702083,0,0,0,0
local_practical,long_context,granite4:7b-a1b-h,4,4,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,performance,granite4:7b-a1b-h,2,0,0.0,0.0,,,0,0,0,0
local_practical,tools,granite4:7b-a1b-h,8,8,1.0,1.0,0.888542,0.888542,0,0,0,0
local_practical,translation,granite4:7b-a1b-h,6,6,1.0,1.0,0.916667,0.916667,0,0,0,0
local_practical,code,hf.co/ibm-granite/granite-vision-4.1-4b-GGUF:Q4_K_M,8,8,1.0,1.0,0.3,0.3,0,0,0,0
local_practical,core,hf.co/ibm-granite/granite-vision-4.1-4b-GGUF:Q4_K_M,24,24,1.0,1.0,0.702083,0.702083,0,0,0,0
local_practical,long_context,hf.co/ibm-granite/granite-vision-4.1-4b-GGUF:Q4_K_M,4,4,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,ocr,hf.co/ibm-granite/granite-vision-4.1-4b-GGUF:Q4_K_M,10,10,1.0,1.0,0.369929,0.369929,0,0,0,0
local_practical,performance,hf.co/ibm-granite/granite-vision-4.1-4b-GGUF:Q4_K_M,2,0,0.0,0.0,,,0,0,0,0
local_practical,tools,hf.co/ibm-granite/granite-vision-4.1-4b-GGUF:Q4_K_M,8,8,1.0,1.0,0.47,0.47,0,0,0,0
local_practical,translation,hf.co/ibm-granite/granite-vision-4.1-4b-GGUF:Q4_K_M,6,6,1.0,1.0,0.883333,0.883333,0,0,0,0
local_practical,vision,hf.co/ibm-granite/granite-vision-4.1-4b-GGUF:Q4_K_M,8,8,1.0,1.0,0.875,0.875,0,0,0,0
local_practical,code,hf.co/lmstudio-community/Qwen3-8B-GGUF:Q4_K_M,8,8,1.0,1.0,0.7,0.7,0,0,0,0
local_practical,core,hf.co/lmstudio-community/Qwen3-8B-GGUF:Q4_K_M,24,24,1.0,1.0,0.879167,0.879167,0,0,0,0
local_practical,long_context,hf.co/lmstudio-community/Qwen3-8B-GGUF:Q4_K_M,4,4,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,performance,hf.co/lmstudio-community/Qwen3-8B-GGUF:Q4_K_M,2,0,0.0,0.0,,,0,0,0,2
local_practical,reasoning,hf.co/lmstudio-community/Qwen3-8B-GGUF:Q4_K_M,10,10,1.0,1.0,0.8,0.8,0,0,0,0
local_practical,tools,hf.co/lmstudio-community/Qwen3-8B-GGUF:Q4_K_M,8,8,1.0,1.0,0.909375,0.909375,0,0,0,0
local_practical,translation,hf.co/lmstudio-community/Qwen3-8B-GGUF:Q4_K_M,6,6,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,code,hf.co/tiiuae/Falcon-H1R-7B-GGUF:Q4_K_M,8,8,1.0,1.0,0.5,0.5,0,0,0,0
local_practical,core,hf.co/tiiuae/Falcon-H1R-7B-GGUF:Q4_K_M,24,24,1.0,1.0,0.879167,0.879167,0,0,0,0
local_practical,long_context,hf.co/tiiuae/Falcon-H1R-7B-GGUF:Q4_K_M,4,4,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,medical,hf.co/tiiuae/Falcon-H1R-7B-GGUF:Q4_K_M,6,6,1.0,1.0,0.780556,0.780556,0,0,0,0
local_practical,performance,hf.co/tiiuae/Falcon-H1R-7B-GGUF:Q4_K_M,2,0,0.0,0.0,,,0,0,0,2
local_practical,reasoning,hf.co/tiiuae/Falcon-H1R-7B-GGUF:Q4_K_M,10,10,1.0,1.0,0.8,0.8,0,0,0,0
local_practical,tools,hf.co/tiiuae/Falcon-H1R-7B-GGUF:Q4_K_M,8,8,1.0,1.0,0.906875,0.906875,0,0,0,0
local_practical,translation,hf.co/tiiuae/Falcon-H1R-7B-GGUF:Q4_K_M,6,6,1.0,1.0,0.95,0.95,0,0,0,0
local_practical,code,hf.co/unsloth/SmolLM3-3B-GGUF:UD-Q4_K_XL,8,8,1.0,1.0,0.125,0.125,0,0,0,2
local_practical,core,hf.co/unsloth/SmolLM3-3B-GGUF:UD-Q4_K_XL,24,24,1.0,1.0,0.75625,0.75625,0,0,0,0
local_practical,long_context,hf.co/unsloth/SmolLM3-3B-GGUF:UD-Q4_K_XL,4,4,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,performance,hf.co/unsloth/SmolLM3-3B-GGUF:UD-Q4_K_XL,2,0,0.0,0.0,,,0,0,0,0
local_practical,reasoning,hf.co/unsloth/SmolLM3-3B-GGUF:UD-Q4_K_XL,10,10,1.0,1.0,0.8,0.8,0,0,0,0
local_practical,tools,hf.co/unsloth/SmolLM3-3B-GGUF:UD-Q4_K_XL,8,8,1.0,1.0,0.4825,0.4825,0,0,0,0
local_practical,translation,hf.co/unsloth/SmolLM3-3B-GGUF:UD-Q4_K_XL,6,6,1.0,1.0,0.85,0.85,0,0,0,0
local_practical,code,huggingface.co/llmware/phi-4-mini-gguf:latest,8,8,1.0,1.0,0.315,0.315,0,0,0,0
local_practical,core,huggingface.co/llmware/phi-4-mini-gguf:latest,24,24,1.0,1.0,0.722917,0.722917,0,0,0,0
local_practical,long_context,huggingface.co/llmware/phi-4-mini-gguf:latest,4,4,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,performance,huggingface.co/llmware/phi-4-mini-gguf:latest,2,0,0.0,0.0,,,0,0,0,0
local_practical,tools,huggingface.co/llmware/phi-4-mini-gguf:latest,8,8,1.0,1.0,0.4775,0.4775,0,0,0,0
local_practical,translation,huggingface.co/llmware/phi-4-mini-gguf:latest,6,6,1.0,1.0,0.8,0.8,0,0,0,0
local_practical,code,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,8,8,1.0,1.0,0.665,0.665,0,0,0,1
local_practical,core,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,24,24,1.0,1.0,0.429167,0.429167,0,0,0,9
local_practical,long_context,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,4,4,1.0,1.0,0.75,0.75,0,0,0,1
local_practical,performance,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,2,0,0.0,0.0,,,0,0,0,2
local_practical,reasoning,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,10,10,1.0,1.0,0.8,0.8,0,0,0,2
local_practical,tools,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,8,8,1.0,1.0,0.485,0.485,0,0,0,0
local_practical,translation,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,6,6,1.0,1.0,0.916667,0.916667,0,0,0,0
local_practical,translation,kaelri/hy-mt2:7b-q4_K_M,6,6,1.0,1.0,0.8,0.8,0,0,0,0
local_practical,code,lfm2.5:8b,8,8,1.0,1.0,0.5,0.5,0,0,0,0
local_practical,core,lfm2.5:8b,24,24,1.0,1.0,0.8375,0.8375,0,0,0,0
local_practical,long_context,lfm2.5:8b,4,4,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,performance,lfm2.5:8b,2,0,0.0,0.0,,,0,0,0,2
local_practical,reasoning,lfm2.5:8b,10,10,1.0,1.0,0.8,0.8,0,0,0,0
local_practical,tools,lfm2.5:8b,8,8,1.0,1.0,0.909375,0.909375,0,0,0,0
local_practical,translation,lfm2.5:8b,6,6,1.0,1.0,0.883333,0.883333,0,0,0,0
local_practical,code,llama3.2:3b,8,8,1.0,1.0,0.615,0.615,0,0,0,0
local_practical,core,llama3.2:3b,24,24,1.0,1.0,0.747917,0.747917,0,0,0,0
local_practical,long_context,llama3.2:3b,4,4,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,performance,llama3.2:3b,2,0,0.0,0.0,,,0,0,0,0
local_practical,tools,llama3.2:3b,8,8,1.0,1.0,0.819792,0.819792,0,0,0,0
local_practical,translation,llama3.2:3b,6,6,1.0,1.0,0.866667,0.866667,0,0,0,0
local_practical,medical,medgemma1.5:4b,6,6,1.0,1.0,0.716667,0.716667,0,0,0,0
local_practical,ocr,medgemma1.5:4b,10,10,1.0,0.9,0.488209,0.439388,0,0,0,1
local_practical,code,minicpm-v4.6:latest,8,8,1.0,1.0,0.22,0.22,0,0,0,2
local_practical,core,minicpm-v4.6:latest,24,24,1.0,1.0,0.8625,0.8625,0,0,0,0
local_practical,long_context,minicpm-v4.6:latest,4,4,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,ocr,minicpm-v4.6:latest,10,10,1.0,1.0,0.462835,0.462835,0,0,0,0
local_practical,performance,minicpm-v4.6:latest,2,0,0.0,0.0,,,0,0,0,0
local_practical,reasoning,minicpm-v4.6:latest,10,10,1.0,1.0,0.8,0.8,0,0,0,0
local_practical,tools,minicpm-v4.6:latest,8,8,1.0,1.0,0.909375,0.909375,0,0,0,0
local_practical,translation,minicpm-v4.6:latest,6,6,1.0,1.0,0.933333,0.933333,0,0,0,0
local_practical,vision,minicpm-v4.6:latest,8,8,1.0,1.0,0.75,0.75,0,0,0,0
local_practical,code,ministral-3:8b,8,8,1.0,1.0,0.585,0.585,0,0,0,0
local_practical,core,ministral-3:8b,24,24,1.0,1.0,0.879167,0.879167,0,0,0,0
local_practical,long_context,ministral-3:8b,4,4,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,ocr,ministral-3:8b,10,10,1.0,1.0,0.547768,0.547768,0,0,0,0
local_practical,performance,ministral-3:8b,2,0,0.0,0.0,,,0,0,0,0
local_practical,tools,ministral-3:8b,8,8,1.0,1.0,0.876042,0.876042,0,0,0,0
local_practical,translation,ministral-3:8b,6,6,1.0,1.0,0.966667,0.966667,0,0,0,0
local_practical,vision,ministral-3:8b,8,8,1.0,1.0,0.75,0.75,0,0,0,0
local_practical,code,mistral:7b,8,8,1.0,1.0,0.48,0.48,0,0,0,0
local_practical,core,mistral:7b,24,24,1.0,1.0,0.747917,0.747917,0,0,0,0
local_practical,long_context,mistral:7b,4,4,1.0,1.0,0.75,0.75,0,0,0,0
local_practical,performance,mistral:7b,2,0,0.0,0.0,,,0,0,0,0
local_practical,tools,mistral:7b,8,8,1.0,1.0,0.766875,0.766875,0,0,0,0
local_practical,translation,mistral:7b,6,6,1.0,1.0,0.9,0.9,0,0,0,0
local_practical,code,nemotron-3-nano:4b,8,8,1.0,1.0,0.6,0.6,0,0,0,0
local_practical,core,nemotron-3-nano:4b,24,24,1.0,1.0,0.808333,0.808333,0,0,0,0
local_practical,long_context,nemotron-3-nano:4b,4,4,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,medical,nemotron-3-nano:4b,6,6,1.0,1.0,0.8,0.8,0,0,0,0
local_practical,performance,nemotron-3-nano:4b,2,0,0.0,0.0,,,0,0,0,0
local_practical,reasoning,nemotron-3-nano:4b,10,10,1.0,1.0,0.8,0.8,0,0,0,0
local_practical,tools,nemotron-3-nano:4b,8,8,1.0,0.875,0.82625,0.722969,1,0,0,0
local_practical,translation,nemotron-3-nano:4b,6,6,1.0,1.0,0.733333,0.733333,0,0,0,0
local_practical,code,olmo-3:7b-instruct,8,8,1.0,1.0,0.4,0.4,0,0,0,0
local_practical,core,olmo-3:7b-instruct,24,24,1.0,1.0,0.831944,0.831944,0,0,0,0
local_practical,long_context,olmo-3:7b-instruct,4,4,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,performance,olmo-3:7b-instruct,2,0,0.0,0.0,,,0,0,0,0
local_practical,tools,olmo-3:7b-instruct,8,8,1.0,1.0,0.822292,0.822292,0,0,0,0
local_practical,translation,olmo-3:7b-instruct,6,6,1.0,1.0,0.933333,0.933333,0,0,0,0
local_practical,code,olmo-3:7b-think,8,8,1.0,1.0,0.9,0.9,1,1,0,0
local_practical,core,olmo-3:7b-think,24,23,0.958333,0.958333,0.836957,0.802083,1,0,0,1
local_practical,long_context,olmo-3:7b-think,4,3,0.75,0.75,1.0,0.75,1,0,0,1
local_practical,performance,olmo-3:7b-think,2,0,0.0,0.0,,,2,0,0,2
local_practical,reasoning,olmo-3:7b-think,10,9,0.9,0.9,0.777778,0.7,1,0,0,1
local_practical,translation,olmo-3:7b-think,6,6,1.0,1.0,0.85,0.85,2,2,0,1
local_practical,code,openbmb/minicpm5:Q4_K_M,8,8,1.0,1.0,0.725,0.725,0,0,0,1
local_practical,core,openbmb/minicpm5:Q4_K_M,24,24,1.0,1.0,0.802083,0.802083,0,0,0,6
local_practical,long_context,openbmb/minicpm5:Q4_K_M,4,4,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,performance,openbmb/minicpm5:Q4_K_M,2,0,0.0,0.0,,,0,0,0,0
local_practical,reasoning,openbmb/minicpm5:Q4_K_M,10,10,1.0,1.0,0.8,0.8,0,0,0,2
local_practical,tools,openbmb/minicpm5:Q4_K_M,8,8,1.0,1.0,0.890625,0.890625,2,2,0,0
local_practical,translation,openbmb/minicpm5:Q4_K_M,6,6,1.0,1.0,0.85,0.85,0,0,0,0
local_practical,code,ornith:9b,8,8,1.0,1.0,0.81,0.81,0,0,0,0
local_practical,core,ornith:9b,24,24,1.0,1.0,0.808333,0.808333,0,0,0,0
local_practical,long_context,ornith:9b,4,4,1.0,1.0,0.5,0.5,0,0,0,0
local_practical,performance,ornith:9b,2,0,0.0,0.0,,,0,0,0,0
local_practical,reasoning,ornith:9b,10,10,1.0,1.0,0.8,0.8,0,0,0,0
local_practical,tools,ornith:9b,8,8,1.0,1.0,0.883542,0.883542,0,0,0,0
local_practical,translation,ornith:9b,6,6,1.0,1.0,0.933333,0.933333,0,0,0,0
local_practical,code,phi4-mini-reasoning:latest,8,8,1.0,1.0,0.415,0.415,0,0,0,3
local_practical,core,phi4-mini-reasoning:latest,24,24,1.0,1.0,0.827083,0.827083,0,0,0,2
local_practical,long_context,phi4-mini-reasoning:latest,4,4,1.0,1.0,1.0,1.0,0,0,0,1
local_practical,performance,phi4-mini-reasoning:latest,2,0,0.0,0.0,,,0,0,0,2
local_practical,reasoning,phi4-mini-reasoning:latest,10,10,1.0,1.0,0.8,0.8,0,0,0,0
local_practical,tools,phi4-mini-reasoning:latest,8,8,1.0,1.0,0.4875,0.4875,0,0,0,0
local_practical,translation,phi4-mini-reasoning:latest,6,6,1.0,1.0,0.7,0.7,0,0,0,1
local_practical,code,phi4-mini:latest,8,8,1.0,1.0,0.24,0.24,0,0,0,0
local_practical,core,phi4-mini:latest,24,24,1.0,1.0,0.610972,0.610972,0,0,0,0
local_practical,long_context,phi4-mini:latest,4,4,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,medical,phi4-mini:latest,6,6,1.0,1.0,0.663889,0.663889,0,0,0,0
local_practical,performance,phi4-mini:latest,2,0,0.0,0.0,,,0,0,0,0
local_practical,tools,phi4-mini:latest,8,8,1.0,1.0,0.4775,0.4775,0,0,0,0
local_practical,translation,phi4-mini:latest,6,6,1.0,1.0,0.833333,0.833333,0,0,0,0
local_practical,embedding,qwen3-embedding:latest,12,12,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,code,qwen3-vl:8b,8,8,1.0,1.0,0.89,0.89,0,0,0,0
local_practical,core,qwen3-vl:8b,24,24,1.0,1.0,0.879167,0.879167,0,0,0,0
local_practical,long_context,qwen3-vl:8b,4,4,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,ocr,qwen3-vl:8b,10,10,1.0,1.0,0.723389,0.723389,0,0,0,0
local_practical,performance,qwen3-vl:8b,2,0,0.0,0.0,,,0,0,0,1
local_practical,reasoning,qwen3-vl:8b,10,10,1.0,1.0,0.7,0.7,1,1,0,1
local_practical,tools,qwen3-vl:8b,8,8,1.0,1.0,0.909375,0.909375,0,0,0,0
local_practical,translation,qwen3-vl:8b,6,6,1.0,1.0,1.0,1.0,2,2,0,0
local_practical,vision,qwen3-vl:8b,8,8,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,code,qwen3.5:4b,8,8,1.0,1.0,0.44,0.44,1,1,0,0
local_practical,core,qwen3.5:4b,24,24,1.0,1.0,0.84375,0.84375,1,1,0,0
local_practical,long_context,qwen3.5:4b,4,4,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,medical,qwen3.5:4b,6,6,1.0,1.0,0.8,0.8,0,0,0,0
local_practical,ocr,qwen3.5:4b,10,10,1.0,1.0,0.743779,0.743779,5,5,0,0
local_practical,performance,qwen3.5:4b,2,0,0.0,0.0,,,0,0,0,0
local_practical,reasoning,qwen3.5:4b,10,8,0.8,0.8,0.625,0.5,2,0,0,2
local_practical,tools,qwen3.5:4b,8,8,1.0,1.0,0.88625,0.88625,0,0,0,0
local_practical,translation,qwen3.5:4b,6,6,1.0,1.0,0.966667,0.966667,3,3,0,0
local_practical,vision,qwen3.5:4b,8,8,1.0,1.0,0.875,0.875,4,4,0,0
local_practical,code,qwen3.5:9b,8,8,1.0,1.0,0.41,0.41,1,1,0,0
local_practical,core,qwen3.5:9b,24,24,1.0,1.0,0.879167,0.879167,1,1,0,0
local_practical,long_context,qwen3.5:9b,4,4,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,medical,qwen3.5:9b,6,6,1.0,1.0,0.8,0.8,0,0,0,0
local_practical,ocr,qwen3.5:9b,10,10,1.0,1.0,0.657809,0.657809,2,2,0,0
local_practical,performance,qwen3.5:9b,2,0,0.0,0.0,,,0,0,0,0
local_practical,reasoning,qwen3.5:9b,10,10,1.0,1.0,0.8,0.8,1,1,0,0
local_practical,tools,qwen3.5:9b,8,8,1.0,1.0,0.904375,0.904375,0,0,0,0
local_practical,translation,qwen3.5:9b,6,6,1.0,1.0,0.966667,0.966667,3,3,0,0
local_practical,vision,qwen3.5:9b,8,8,1.0,1.0,0.875,0.875,1,1,0,0
local_practical,code,rnj-1:latest,8,8,1.0,1.0,0.59,0.59,0,0,0,0
local_practical,core,rnj-1:latest,24,24,1.0,1.0,0.829167,0.829167,0,0,0,0
local_practical,long_context,rnj-1:latest,4,4,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,performance,rnj-1:latest,2,0,0.0,0.0,,,0,0,0,0
local_practical,tools,rnj-1:latest,8,8,1.0,1.0,0.888542,0.888542,0,0,0,0
local_practical,translation,rnj-1:latest,6,6,1.0,1.0,0.933333,0.933333,0,0,0,0
local_practical,safety,shieldgemma:2b,20,20,1.0,1.0,0.708333,0.708333,0,0,0,0
local_practical,code,smollm2:1.7b,8,8,1.0,1.0,0.56,0.56,0,0,0,0
local_practical,core,smollm2:1.7b,24,24,1.0,1.0,0.58125,0.58125,0,0,0,0
local_practical,long_context,smollm2:1.7b,2,2,1.0,1.0,0.5,0.5,0,0,0,0
local_practical,performance,smollm2:1.7b,2,0,0.0,0.0,,,0,0,0,0
local_practical,tools,smollm2:1.7b,8,8,1.0,0.75,0.732292,0.549219,5,3,0,0
local_practical,translation,smollm2:1.7b,6,6,1.0,1.0,0.783333,0.783333,0,0,0,0
local_practical,code,starcoder2:7b,8,8,1.0,1.0,0.0,0.0,0,0,0,1
local_practical,ocr,translategemma:latest,10,10,1.0,1.0,0.602692,0.602692,0,0,0,0
local_practical,translation,translategemma:latest,6,6,1.0,1.0,0.9,0.9,0,0,0,0
